"","eidid","eid_name","data_quality","path_genus","path_species","path_common","path_subgroup","path_disease","event_location","map_type","no_map_objects","sourcenotes_original","sourcenotes_ceisin","transtype_zoo_t","transtype_zoo_pd","zoo_origin","zoo_origin_type","path_type","transmode_descrip","transmode_1_descrip","transmode_1_contact","transmode_2_code","transmode_3_code","transtype_human","path_acquisition","path_vector","event_date","event_year","event_decade","event_ref","event_type","drivers_ref","drivers","driver_1","driver_1_iom","driver_1_pd","driver_pd_reclass","driver_2","driver_3","path_reservoir","path_georange","path_hosteffect","eid_ref","notes","geo_data_qual_1","geo_data_qual_12","yr1","yr2","filename","wildlife_zoonoses"
"255",255,"HED_255",1,"Fusarium","oxysporum","Unspecified","Unspecified","Unspecified","Morgantown, WV","1",1,"GGv2. ""Morgantown, US, West Virginia""","GGv2. ""Morgantown, US, West Virginia""","no",0,0,0,"fungi","portals of entry include lungs, sinuses, catheters, and periungal regions","aerosolized","direct contact","ingestion","fomites","","","None","1972",1972,"1970","Neurology 25:922","","http://www.mold-help.org/fusarium.htm; Lashley","The first reference we have to Fusarium in humans dates from an 1916 article published in French by Dr. N.V. Greco in an Argentine Medical Journal called  Origine des Tumeurs (Etiologie du Cancer, etc.) et Observations de Mycoses (Blastomycosis, etc) Arge; risk groups include neutropenia, chemotherapy, and BMT patients","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","None","Unspecified","Unspecified","Taylor et al.; email author","",1,1,1,0,"HED_255.shp",FALSE
"256",256,"HED_256",1,"Fusarium","solani","Unspecified","Unspecified","Unspecified","Kansas","3",1,"ESRIAdmin00. ""Kansas, USA""","ESRIAdmin00. ""Kansas, USA""","yes",0,0,0,"fungi","portals of entry include lungs, sinuses, catheters, and periungal regions","aerosolized","direct contact","ingestion","fomites","","","None","1973",1973,"1970","Cho. J Ped 83:1028","","http://www.mold-help.org/fusarium.htm; Lashley","The first reference we have to Fusarium in humans dates from an 1916 article published in French by Dr. N.V. Greco in an Argentine Medical Journal called  Origine des Tumeurs (Etiologie du Cancer, etc.) et Observations de Mycoses (Blastomycosis, etc) Arge; risk groups include neutropenia, chemotherapy, and BMT patients","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","None","Unspecified","Unspecified","Taylor et al.","",0,1,1,0,"HED_256.shp",FALSE
"257",257,"HED_257",1,"Hansenula","anomala","Unspecified","Unspecified","Unspecified","Mersey Regional NICU, Liverpool Maternity Hosp, Oxford Street, Liverpool","1",1,"GGv2. ""Liverpool, UK""","GGv2. ""Liverpool, UK""","no",0,0,0,"fungi","Hansenula anomala (H.anoma la) is an opportunistic yeast (the perfect state of Candida pelliculosa), which belongs to the family Saccharomycetaceae, order Endomycetales, class Ascomycetes, found in vegetation, soil, fruits and various other organic substrates. Hansenula anomala can be a transient oropharyngeal and gastrointestinal component of the human microbiota [1, 2]. It is rarely found as a cause of infection, and only a few isolated cases [2–15] and three outbreaks of fungemia [1, 16, 17] have been reported.","hands","indirect contact","fomites","None","","nosocomial","None","Jun-84",1984,"1980","Arch IM 1988 148:1210-14. Lancet 1986. 1:291-2","","Hazen 1995","immunosuppression is leading to increased nosocomial infections","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","None","Unspecified","Unspecified","Unspecified","",1,1,1,1,"HED_257.shp",FALSE
"258",258,"HED_258",1,"Histoplasma","capsulatum","Unspecified","Unspecified","Unspecified","Ancon, Panama","1",1,"GGv2. ""Ancon, Panama""","GGv2. ""Ancon, Panama""","yes",1,1,3,"fungi","Inhalation of airborne conidia; small size of infective conidia (< 5 µm) is conducive to airborne dispersal and intrapulmonary retention","inhalation of spore","direct contact","None","None","","","None","1906",1906,"1900","Darling, S. T. 1909. The morphology of the parasite (Histoplasma capsulatum) and the lesions of histoplasmosis, a fatal disease of tropical America. J. Exp. Med. 11:515-530.","","http://www.emedicine.com/radio/byname/histoplasmosis-thoracic.htm","Histoplasma capsulatum first was described in 1905 by Samuel Darling, a US Army pathologist stationed in Panama. Darling examined visceral tissues and bone marrow from a young man from Martinique whose death originally was attributed to miliary tuberculos","military","international travel and commerce","war and famine","war and famine","deforestation","None","soil with high organic content and undisturbed bird droppings, in particular that around and in old chicken houses, in caves harbouring bats and around starling, blackbird and pigeon roosts","Unspecified","Unspecified","Taylor et al.","",1,1,0,0,"HED_258.shp",TRUE
"259",259,"HED_259",1,"Histoplasma","capsulatum","Unspecified","Unspecified","Unspecified","Indianapolis","1",1,"GGv2. ""Indianapolis, USA, Indiania""","GGv2. ""Indianapolis, USA, Indiania""","yes",1,1,3,"fungi","Inhalation of airborne conidia; small size of infective conidia (< 5 µm) is conducive to airborne dispersal and intrapulmonary retention","inhalation of spore","direct contact","None","None","","","None","1980",1980,"1980","Medicine 1984. 63:301","","T.J. Walsh, A.H. Groll. Emerging fungal pathogens: evolving challenges to immunocompromised patients for the twenty-first century. Transplant Infectious Disease Volume 1 Issue 4 Page 247  - December 1999","reported to expand rapidly in response to environmental exposures and increased numbers of vulnerable hosts in endemic regions of the world","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","travel","None","soil with high organic content and undisturbed bird droppings, in particular that around and in old chicken houses, in caves harbouring bats and around starling, blackbird and pigeon roosts","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_259.shp",TRUE
"260",260,"HED_260",0,"Histoplasma","capsulatum","Unspecified","Unspecified","Unspecified","Santa Rosa National Park, Guanacaste Province, Costa Rica","3",1,"ESRIAdmin00. ""Guanacaste, Costa Rica""","ESRIAdmin00. ""Guanacaste, Costa Rica""","yes",1,1,3,"fungi","Inhalation of airborne conidia; small size of infective conidia (< 5 µm) is conducive to airborne dispersal and intrapulmonary retention","inhalation of spore","direct contact","None","None","","","None","1988",1988,"1980","MMWR 1988 37:312","","T.J. Walsh, A.H. Groll. Emerging fungal pathogens: evolving challenges to immunocompromised patients for the twenty-first century. Transplant Infectious Disease Volume 1 Issue 4 Page 247  - December 1999","reported to expand rapidly in response to environmental exposures and increased numbers of vulnerable hosts in endemic regions of the world","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","travel","None","soil with high organic content and undisturbed bird droppings, in particular that around and in old chicken houses, in caves harbouring bats and around starling, blackbird and pigeon roosts","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_260.shp",TRUE
"261",261,"HED_261",1,"Malassezia","pachydermatis","Unspecified","Unspecified","Unspecified","Palo Alto, CA","1",1,"GGv2. ""Palo Alto, US, California""","GGv2. ""Palo Alto, US, California""","yes",1,1,3,"fungi","surfaces and hands of caretakers transfer organism from pet dogs to neonates","care takers hands transfer organism from dogs to humans","indirect contact","fomites","None","","","None","1984",1984,"1980","Mickelsen PA, Viano-Paulson MC, Stevens DA, et al. Clinical and microbiological features of infection with Malassezia pachydermatis in high-risk infants. J Infect Dis 1988;157:1163-8.","","Chou T. Emerging infectious diseases and pathogens. Nurs Clin North Am. 1999 Jun;34(2):427-42.","immunocompromised adults; incresing incidence in nurseries neonates","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","warm-bloodedvertebrates, such as dogs, cats, foxes, ferrets, pigs, primates or rhinoceroses.","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_261.shp",TRUE
"262",262,"HED_262",1,"Mycoplasma","genitalium","Unspecified","Unspecified","Unspecified","St. Mary’s Hospital, Paddington","1",1,"multimap.com/. ""St Mary's Hospital""","multimap.com/. ""St Mary's Hospital""","no",0,0,0,"bacteria","sexually","sexual transmission","direct contact","None","None","","","None","1981",1981,"1980","Tully JG, Taylor-Robinson D, Cole RM, Rose DL. A newly discovered mycoplasma in the human urogenital tract. Lancet. 1981 Jun 13;1(8233):1288-91.","","Unspecified","first recognized in homosexual men","unsafe sexual practices","human demographics and behavior","human demographics and behavior","human demographics and behavior","AIDS","None","lives in the primate genital and respiratory tracts","Unspecified","Unspecified","Unspecified","",1,1,1,1,"HED_262.shp",FALSE
"263",263,"HED_263",1,"Mycoplasma","fermentans","Unspecified","Unspecified","Unspecified","Groningen, Holland","1",1,"GGv2. ""Groningen, Netherlands""","GGv2. ""Groningen, Netherlands""","yes",1,0,0,"bacteria","mucous contact","transplacental transmission","direct contact","None","None","","","None","1950s",1950,"1950","Ruiter M, Wentholt HMM. J Inv Dermat 18:313. 1952.","","Joel B. Baseman and Joseph G. Tully Mycoplasmas: Sophisticated, Reemerging, and Burdened by Their Notoriety. EID 1997.","increased recognition in immunocompromised and healthy humans","increased recognition","technology and industry","medical industry changes","medical industry changes","immunosuppression","None","None","Unspecified","Unspecified","Joel B. Baseman and Joseph G. Tully Mycoplasmas: Sophisticated, Reemerging, and Burdened by Their Notoriety. EID 1997.","",1,1,1,0,"HED_263.shp",FALSE
"264",264,"HED_264",0,"Penicillium","marneffei","Unspecified","Unspecified","Unspecified","Rush-Presbyterian- St. Luke Medical Center, Chicago, IL","1",1,"multimap.com/.""Rush-Presbyterian- St. Luke Medical Center, Chicago, IL""","multimap.com/.""Rush-Presbyterian- St. Luke Medical Center, Chicago, IL""","yes",1,1,2,"fungi","inhalation of condida spores from soil","inhalation of spore","direct contact","None","None","","","None","Oct. 1987",1987,"1980","Piehl MR, Kaplan RL, Haber MH. Disseminated penicilliosis in a patient with acquired immunodeficiency syndrome. Arch Pathol Lab Med 1988; 112: 1262-64. Scheld EI1.","","T.J. Walsh, A.H. Groll. Emerging fungal pathogens: evolving challenges to immunocompromised patients for the twenty-first century. Transplant Infectious Disease Volume 1 Issue 4 Page 247  - December 1999","reported to expand rapidly in response to environmental exposures and increased numbers of vulnerable hosts in endemic regions of the world; Subsequently the disease exploded in HIV positive patients who resided in or had travelled to South East Asia","travel","international travel and commerce","international travel and commerce","international travel and commerce","AIDS","None","bamboo rats are host/soil reservoir?","Unspecified","Unspecified","Taylor et al.; Simms I, Eastick K, Mallinson H, Thomas K, Gokhale R, Hay P, Herring A, Rogers PA. Associations between Mycoplasma genitalium, Chlamydia trachomatis and pelvic inflammatory disease. J Clin Pathol. 2003 Aug;56(8):616-8.","",0,0,1,1,"HED_264.shp",TRUE
"265",265,"HED_265",1,"Penicillium","marneffei","Unspecified","Unspecified","Unspecified","South Carolina, USA","3",1,"ESRIAdmin00. ""South Carolina US""","ESRIAdmin00. ""South Carolina US""","yes",1,1,2,"fungi","inhalation of condida spores from soil","inhalation of spore","direct contact","None","None","","","None","summer 1970",1970,"1970","DiSalvo AF, Fickling AM, Ajello L. Infection caused by Penicillium marneffei: description of first natural infection in man. Am J Clin Pathol. 1973 Aug;60(2):259-63.","","DiSalvo AF, Fickling AM, Ajello L. Infection caused by Penicillium marneffei: description of first natural infection in man. Am J Clin Pathol. 1973 Aug;60(2):259-63.","minister ""travelling"" in SE Asia who had Hodkins disease","missionaries","international travel and commerce","international travel and commerce","international travel and commerce","None","None","bamboo rats are host/soil reservoir?","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_265.shp",TRUE
"266",266,"HED_266",1,"Pneumocystis","carinii","Unspecified","Unspecified","Unspecified","Denmark","3",1,"ESRICountry00. ""Denmark""","Country name ""Denmark""","yes",1,0,0,"fungi","Animal to animal transmission via the airborne route has been demonstrated in rats. The mode of transmission in humans is not known.  In one study, approximately 75% of normal individuals were reported to have humoral antibodies to P. carinii for age 4, suggesting that subclinical infection is common in the USA.  Pneumonitis in the compromised host may result from either a reactivation of latent infection or a newly acquired infection.","airborne respiratory route","indirect contact","None","None","","","None","1942",1942,"1940","van der Meer MG, Brug SL. Infection à Pneumocystis chez l’homme et chez les animaux. Amer Soc Belge Méd Trop 1942;22:301–9.","","Unspecified","important cause of illness and death in immunocompromised patients, specifically HIV-infected patients, transplant recipients, and patients with oncohematologic diseases","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","None","Unspecified","Unspecified","Taylor et al.","G. Ségrétain and named Penicillium marneffei, after the name of Dr. Hubert Marneffe, the Director of the Institut Pasteur of Indochina. As repeatedly occurred in the history of the discovery of pathogens, Ségrétain became the first known human case of P. marneffei infection in 1959 as he accidentally inoculated himself with the fungus by a needle when transfering the organism to a hamster. The first documented case of natural human infection, however, was discovered much later in 1973 in a 61-year-old US missionary suffering from Hodgkin's disease.",1,1,1,0,"HED_266.shp",FALSE
